threshold,precision,recall,f1,accuracy,fpr,tp,fp,fn,tn
0.1,0.9355390758699372,0.9981740718198417,0.9658421672555948,0.9999088425837155,8.891469775691037e-05,1640,113,3,1270768
0.15000000000000002,0.9579439252336449,0.9981740718198417,0.977645305514158,0.9999410620153333,5.665361273006678e-05,1640,72,3,1270809
0.20000000000000004,0.9681039574719433,0.9975654290931223,0.9826139088729017,0.9999544212918577,4.249020954755008e-05,1639,54,4,1270827
0.25000000000000006,0.9738562091503268,0.9975654290931223,0.9855682501503308,0.9999622796898133,3.46216522239297e-05,1639,44,4,1270837
0.30000000000000004,0.9802631578947368,0.9975654290931223,0.9888386123680242,0.9999709239275645,2.5966239167947276e-05,1639,33,4,1270848
0.3500000000000001,0.9832033593281344,0.9975654290931223,0.9903323262839879,0.9999748531265422,2.2031960506137083e-05,1639,28,4,1270853
0.40000000000000013,0.9897342995169082,0.9975654290931223,0.9936344346771749,0.9999834973642934,1.3376547450154657e-05,1639,17,4,1270864
0.45000000000000007,0.9921307506053268,0.9975654290931223,0.9948406676783005,0.9999866407234755,1.0229124520706502e-05,1639,13,4,1270868
0.5000000000000001,0.9945388349514563,0.9975654290931223,0.9960498328775448,0.9999897840826578,7.0817015912583474e-06,1639,9,4,1270872
0.5500000000000002,0.9951426836672739,0.9975654290931223,0.9963525835866262,0.9999905699224533,6.294845858896309e-06,1639,8,4,1270873
0.6000000000000002,0.9963525835866262,0.9975654290931223,0.9969586374695864,0.9999921416020444,4.721134394172232e-06,1639,6,4,1270875
0.6500000000000001,0.9969586374695864,0.9975654290931223,0.9972619409796166,0.99999292744184,3.934278661810193e-06,1639,5,4,1270876
0.7000000000000002,0.9969586374695864,0.9975654290931223,0.9972619409796166,0.99999292744184,3.934278661810193e-06,1639,5,4,1270876
0.7500000000000002,0.9981729598051157,0.9975654290931223,0.997869101978691,0.9999944991214311,2.360567197086116e-06,1639,3,4,1270878
0.8000000000000002,0.9981729598051157,0.9975654290931223,0.997869101978691,0.9999944991214311,2.360567197086116e-06,1639,3,4,1270878
0.8500000000000002,0.9987812309567337,0.9975654290931223,0.9981729598051157,0.9999952849612267,1.5737114647240772e-06,1639,2,4,1270879
0.9000000000000002,0.999390243902439,0.9975654290931223,0.9984770027413951,0.9999960708010223,7.868557323620386e-07,1639,1,4,1270880
